category,title_categories,summarize_categories,title,author,fascicle,year,start_page,end_page,pdf_link,id
"['Filosofía', 'Política', 'Filosofía y Política']","['Ideológicos', 'Sistemas']","['Social', 'Individuos', 'Orden', 'Número']",Supuestos ideológicos de los sistemas económicos,Juan Zaragüeta Bengoechea,1,1974,00009,00017,abrir_pdf.php?id=ANU-M-1974-10000900017,ANU-M-1974-10000900017
"['Filosofía', 'Política', 'Filosofía y Política']","['Cambio', 'Reforma']","['Social', 'Sistema', 'Político', 'Política', 'Cambio']",Cambio social y reforma política,Manuel Fraga Iribarne,1,1974,00019,00052,abrir_pdf.php?id=ANU-M-1974-10001900052,ANU-M-1974-10001900052
"['Filosofía', 'Política', 'Filosofía y Política']",['Opinión'],"['Opinión', 'Pública', 'Sentido', 'Social', 'Común']",La opinión pública,Francisco Moreno de Herrera,1,1974,00055,00067,abrir_pdf.php?id=ANU-M-1974-10005500067,ANU-M-1974-10005500067
"['Filosofía', 'Política', 'Filosofía y Política']","['Comunidad Económica Europea', 'Ampliación']","['Comisión', 'Parlamento', 'Europa', 'Comunidad', 'Poderes']",La Comunidad Económica Europea desde su ampliación,Antonio Truyol Serra,1,1974,00069,00097,abrir_pdf.php?id=ANU-M-1974-10006900097,ANU-M-1974-10006900097
"['Sociología', 'Economía', 'Sociología y Economía']",['Diseño Sociología'],"['Social', 'Orden', 'Hombres', 'Vida', 'Lenguaje']",Diseño de una Sociología,Juan Zaragüeta Bengoechea,1,1974,00101,00131,abrir_pdf.php?id=ANU-M-1974-10010100131,ANU-M-1974-10010100131
"['Sociología', 'Economía', 'Sociología y Economía']","['Futuro', 'Desarrollo']","['Desarrollo', 'Países', 'Económica', 'Material', 'Años']","Pasado, presente y futuro del desarrollo",Luis Olariaga,1,1974,00133,00150,abrir_pdf.php?id=ANU-M-1974-10013300150,ANU-M-1974-10013300150
"['Sociología', 'Economía', 'Sociología y Economía']","['Centenario', 'Marginalismo']","['Utilidad', 'Marginal', 'Teoría', 'Walras', 'Principio']",El centenario del marginalismo,José Castañeda Chornet,1,1974,00153,00171,abrir_pdf.php?id=ANU-M-1974-10015300171,ANU-M-1974-10015300171
"['Sociología', 'Economía', 'Sociología y Economía']","['Evolución', 'Empresa']","['Empresa', 'Trabajadores', 'Capital', 'Participación', 'Sociedad']",La evolución jurídico-social de la empresa,Alberto Martín Artajo,1,1974,00173,00214,abrir_pdf.php?id=ANU-M-1974-10017300214,ANU-M-1974-10017300214
"['Sociología', 'Economía', 'Sociología y Economía']",['Varia'],"['Energía', 'Vida', 'Desarrollo', 'Años', 'Orden']",Varia económica,José María de Oriol y Urquijo,1,1974,00217,00235,abrir_pdf.php?id=ANU-M-1974-10021700235,ANU-M-1974-10021700235
"['Sociología', 'Economía', 'Sociología y Economía']","['Geografía', 'Mundo', 'Desarrollo']","['Millones', 'Países', 'Geografía', 'Siglo']",Geografía humanística del mundo en desarrollo,José María Cordero Torres,1,1974,00237,00266,abrir_pdf.php?id=ANU-M-1974-10023700266,ANU-M-1974-10023700266
['Figuras Intelectuales'],"['Tributo', 'Memoria', 'Don Eloy Montero Gutiérrez']","['Derecho', 'Canónico', 'Familia', 'Academia', 'Academias']",Tributo académico a la memoria de don Eloy Montero Gutiérrez,Carlos Ruiz del Castillo,1,1974,00271,00283,abrir_pdf.php?id=ANU-M-1974-10027100283,ANU-M-1974-10027100283
['Figuras Intelectuales'],"['Canalejas', 'Evolución', 'Hombre']","['Canalejas', 'Política', 'España', 'Político']",Canalejas: evolución política de un hombre de Estado,Francisco Moreno de Herrera,1,1974,00285,00305,abrir_pdf.php?id=ANU-M-1974-10028500305,ANU-M-1974-10028500305
['Vida Académica'],"['Crónica', 'Curso', '1971-1972']","['Europa', 'Orden', 'Fines']",Crónica del curso 1971-1972,RACMYP,1,1974,00309,00329,abrir_pdf.php?id=ANU-M-1974-10030900329,ANU-M-1974-10030900329
['Vida Académica'],"['Disertaciones', 'Años', '1940-1970']","['Publicado).Sr', 'Marín', 'Académico', 'Gascón', 'Elogio']",Disertaciones académicas en los años 1940-1970,RACMYP,1,1974,00331,00366,abrir_pdf.php?id=ANU-M-1974-10033100366,ANU-M-1974-10033100366
['Vida Académica'],"['Publicaciones', 'Real Academia']","['Discurso', 'Ingreso', 'Contestación', 'José', 'María']",Últimas publicaciones de la Real Academia,RACMYP,1,1974,00369,00369,abrir_pdf.php?id=ANU-M-1974-10036900369,ANU-M-1974-10036900369
['Necrológicas'],"['Muerte', 'Presidente']","['Presidente', 'Academia', 'Sesión', 'Vida', 'Internacional']",En la muerte de nuestro Presidente,RACMYP,2,1974,00007,00013,abrir_pdf.php?id=ANU-M-1974-20000700013,ANU-M-1974-20000700013
"['Filosofía', 'Política', 'Filosofía y Política']","['Esquema', 'Teoría', 'Historia']","['Imperio', 'Siglo', 'Hombres', 'J.C.', 'Años']",Esquema y teoría de la Historia,Juan Zaragüeta Bengoechea,2,1974,00017,00080,abrir_pdf.php?id=ANU-M-1974-20001700080,ANU-M-1974-20001700080
"['Filosofía', 'Política', 'Filosofía y Política']","['Acoso', 'Ocaso', 'Libertades']","['Libertades', 'Social', 'Derechos', 'Liberales', 'Libertad']",Acoso y ocaso de las libertades humanas,José María Cordero Torres,2,1974,00081,00095,abrir_pdf.php?id=ANU-M-1974-20008100095,ANU-M-1974-20008100095
"['Filosofía', 'Política', 'Filosofía y Política']","['Vacío Orgánico', 'Mediterráneo']","['Países', 'España', 'Mediterráneo', 'Flotas', 'Males']",Un vacío orgánico regional: el Mediterráneo,José María Cordero Torres,2,1974,00097,00107,abrir_pdf.php?id=ANU-M-1974-20009700107,ANU-M-1974-20009700107
"['Filosofía', 'Política', 'Filosofía y Política']","['Filosofía', 'Sociología', 'Libertad']","['Libertad', 'Hombre', 'Social', 'Derecho']",Filosofía y Sociología de la libertad,Luis Legaz Lacambra,2,1974,00109,00127,abrir_pdf.php?id=ANU-M-1974-20010900127,ANU-M-1974-20010900127
"['Filosofía', 'Política', 'Filosofía y Política']","['Sociedad', 'Libertad', 'Autoridad', 'Examen', 'Caso', 'Sucesos', 'Mayo 1968', 'París']","['Autoridad', 'Sociedad', 'Social', 'Fuerzas', 'Libertad']","Sociedad, libertad, autoridad. Examen de un caso: los sucesos de mayo de 1968 en París",Antonio Perpiñá Rodríguez,2,1974,00129,00149,abrir_pdf.php?id=ANU-M-1974-20012900149,ANU-M-1974-20012900149
"['Sociología', 'Economía', 'Sociología y Economía']","['Hacienda', 'Economía']","['Economía', 'Hacienda', 'Ciencia', 'Económica']",La hacienda pública dentro de la economía nacional,José Castañeda Chornet,2,1974,00153,00168,abrir_pdf.php?id=ANU-M-1974-20015300168,ANU-M-1974-20015300168
"['Sociología', 'Economía', 'Sociología y Economía']","['Alienación', 'Convivencia', 'Sartre']","['Sartre', 'Hombre', 'Alienación', 'Hegel', 'Escasez']",Alienación y convivencia en Sartre,Manuel Alonso Olea,2,1974,00169,00200,abrir_pdf.php?id=ANU-M-1974-20016900200,ANU-M-1974-20016900200
"['Sociología', 'Economía', 'Sociología y Economía']","['Contrastes', 'Países']","['Hungría', 'Sofía', 'Comunista', 'Bulgaria', 'Comunismo']",Contrastes socio-políticos de dos países comunistas,Francisco Moreno de Herrera,2,1974,00201,00217,abrir_pdf.php?id=ANU-M-1974-20020100217,ANU-M-1974-20020100217
['Figuras Intelectuales'],"['Memoriam', 'Glosa', 'Obra', 'Académico', 'P. Venancio D. Carro']","['Carro', 'Obra', 'Hombre', 'Tierras', 'Sentido']",In memoriam. Glosa de la obra del académico P. Venancio D. Carro,Carlos Ruiz del Castillo,2,1974,00221,00236,abrir_pdf.php?id=ANU-M-1974-20022100236,ANU-M-1974-20022100236
['Figuras Intelectuales'],['Memoria José Larraz'],"['Años', 'Larraz', 'España', 'Historia', 'Guerra']",«Memoria de José Larraz», José María de Areilza y Martínez Rodas,2,1974,00237,00255,abrir_pdf.php?id=ANU-M-1974-20023700255,ANU-M-1974-20023700255
['Vida Académica'],"['Crónica', 'Curso', '1972-1973']","['Derecho', 'Olea', 'Universidad', 'Alonso']",Crónica del curso 1972-1973,RACMYP,2,1974,00259,00270,abrir_pdf.php?id=ANU-M-1974-20025900270,ANU-M-1974-20025900270
['Vida Académica'],['Publicaciones'],"['Discurso', 'Ingreso', 'Contestación', 'José', 'Política']",Últimas publicaciones,RACMYP,2,1974,00273,00273,abrir_pdf.php?id=ANU-M-1974-20027300273,ANU-M-1974-20027300273
['Necrológicas'],"['Muerte', 'Secretario Perpetuo', 'Don', 'Juan Zaragüeta', 'Bengoechea']","['Academia', 'Zaragüeta', 'Universidad', 'Noticia', 'Recuerdo']",En la muerte del Secretario perpetuo don Juan Zaragüeta y Bengoechea,RACMYP,1,1975,00007,00010,abrir_pdf.php?id=ANU-M-1975-10000700010,ANU-M-1975-10000700010
"['Filosofía', 'Política', 'Filosofía y Política']","['Vocabulario', 'Sentido', 'Valores']","['Valores', 'Sentido', 'Llam', 'Palabras', 'Estim']",Vocabulario de sentido cognoscitivo de ser y estimativo de valores,Juan Zaragüeta Bengoechea,1,1975,00013,00037,abrir_pdf.php?id=ANU-M-1975-10001300037,ANU-M-1975-10001300037
"['Filosofía', 'Política', 'Filosofía y Política']","['Alteraciones', 'Relaciones', 'España', 'Advenimiento', 'Consecuencia', 'Cambio']","['Ente', 'Español', 'Política', 'Problem', 'Relaciones']","Alteraciones trascendentales en las relaciones exteriores de España, por el advenimiento de una nueva era mundial, a consecuencia de cambio social",José María Cordero Torres,1,1975,00039,00059,abrir_pdf.php?id=ANU-M-1975-10003900059,ANU-M-1975-10003900059
"['Filosofía', 'Política', 'Filosofía y Política']","['Inflación', 'Problema']","['Problem', 'Ente', 'Inflación', 'Política', 'Político']",La inflación como problema político,Mariano Navarro Rubio,1,1975,00061,00097,abrir_pdf.php?id=ANU-M-1975-10006100097,ANU-M-1975-10006100097
"['Filosofía', 'Política', 'Filosofía y Política']","['Cambio', 'Ideología']","['Stado', 'Desarrollo', 'Ente', 'Político', 'Económico']",Cambio político e ideología,Gonzalo Fernández De La Mora,1,1975,00099,00121,abrir_pdf.php?id=ANU-M-1975-10009900121,ANU-M-1975-10009900121
"['Filosofía', 'Política', 'Filosofía y Política']","['Valores', 'Constitución']","['Leyes', 'Texto', 'Régimen', 'Constitución', 'Ente']",Los valores latentes de la constitución canovista,José María Cordero Torres,1,1975,00123,00149,abrir_pdf.php?id=ANU-M-1975-10012300149,ANU-M-1975-10012300149
['Ciencias Jurídicas'],"['Legislación', 'Control', 'Bretaña']","['Legislación', 'Gobierno', 'Parlamento', 'Control', 'Leyes']",La legislación delegada y su control en la Gran Bretaña,Manuel Fraga Iribarne,1,1975,00153,00197,abrir_pdf.php?id=ANU-M-1975-10015300197,ANU-M-1975-10015300197
"['Sociología', 'Economía', 'Sociología y Economía']","['Intelectuales', 'Mundo']","['Social', 'Intelectuales', 'Revolución', 'Orden', 'Mundo']",Algunos intelectuales del mundo actual,Francisco Moreno de Herrera,1,1975,00201,00219,abrir_pdf.php?id=ANU-M-1975-10020100219,ANU-M-1975-10020100219
"['Sociología', 'Economía', 'Sociología y Economía']","['Cambio', 'Evolucionismo', 'Funcionalismo']","['Social', 'Form', 'Ente', 'Cambio', 'Sociales']",Cambio social: evolucionismo y funcionalismo,Manuel Alonso Olea,1,1975,00221,00253,abrir_pdf.php?id=ANU-M-1975-10022100253,ANU-M-1975-10022100253
['Figuras Académicas'],"['Javier Conde', 'Hombre', 'Político']","['Conde', 'Político', 'Política', 'Realidad', 'Ente']","Javier Conde: el hombre, el intelectual, el político",Luis Legaz Lacambra,1,1975,00257,00275,abrir_pdf.php?id=ANU-M-1975-10025700275,ANU-M-1975-10025700275
['Figuras Académicas'],"['José María Yanguas Messía', '1890-1974']","['Yanguas', 'Derecho', 'Internacional', 'Ente', 'Cátedra']",José María de Yanguas Messía (1890-1974),Antonio Truyol Serra,1,1975,00277,00297,abrir_pdf.php?id=ANU-M-1975-10027700297,ANU-M-1975-10027700297
['Vida Académica'],"['Discurso', 'Ingreso', 'Juan Zaragüeta']","['Ente', 'Bres', 'Realidad', 'Valores', 'Espíritu']",El discurso para ingreso de D. Juan Zaragüeta,RACMYP,1,1975,00301,00311,abrir_pdf.php?id=ANU-M-1975-10030100311,ANU-M-1975-10030100311
['Vida Académica'],"['Crónica', 'Curso', '1973-1974']","['Ente', 'Sistem', 'Política', 'Reform', 'Problem']",Crónica del curso 1973-1974,RACMYP,1,1975,00311,00388,abrir_pdf.php?id=ANU-M-1975-10031100388,ANU-M-1975-10031100388
['Editorial'],"['Tránsito', '1975', '1976', 'Muerte Franco Y Proclamación D. Juan Carlos I']","['Historia', 'Juan', 'Carlos', 'Reina', 'Franco']",En el tránsito de 1975 a 1976. Muerte de Franco y proclamación de D. Juan Carlos I,RACMYP,1,1976,00009,00011,abrir_pdf.php?id=ANU-M-1976-10000900011,ANU-M-1976-10000900011
['Filosofía'],"['Consideraciones', 'Dignidad', 'Persona', 'Vida']","['Vida', 'Persona', 'Social', 'Dignidad', 'Libertad']",Consideraciones sobre la dignidad de la persona y de la vida humana,Luis Legaz Lacambra,1,1976,00015,00041,abrir_pdf.php?id=ANU-M-1976-10001500041,ANU-M-1976-10001500041
['Filosofía'],['Movimiento Cristianos Socialismo'],"['Movimiento', 'Iglesia', 'Cristianos', 'Socialismo', 'Cristiana']","El Movimiento de los ' Cristianos por el Socialismo""",Marcelo González Martín,1,1976,00043,00063,abrir_pdf.php?id=ANU-M-1976-10004300063,ANU-M-1976-10004300063
['Filosofía'],"['Socialismo', 'Catolicismo']","['Socialismo', 'Marxismo', 'Propiedad', 'Sociedad', 'Obreros']",Socialismo y catolicismo,Francisco Moreno de Herrera,1,1976,00065,00079,abrir_pdf.php?id=ANU-M-1976-10006500079,ANU-M-1976-10006500079
['Filosofía'],"['Conocimiento', 'Interioridad', 'Suárez']","['Acto', 'Actos', 'Mente', 'Reflexión', 'Voluntad']",Conocimiento virtual e interioridad en Suárez,José Ignacio Alcorta,1,1976,00081,00111,abrir_pdf.php?id=ANU-M-1976-10008100111,ANU-M-1976-10008100111
['Política'],"['Proceso', 'Relativización', 'Democracia']","['Democracia', 'Partidos', 'Acción', 'Orden', 'Principio']",El proceso de relativización de la democracia moderna,Carlos Ruiz del Castillo,1,1976,00115,00132,abrir_pdf.php?id=ANU-M-1976-10011500132,ANU-M-1976-10011500132
['Política'],"['Aggiornamento', 'Forma', 'España']","['Monarquía', 'Forma', 'Política', 'Pueblo', 'Régimen']","""Aggiornamento"" de la forma monárquica en España",Antonio Perpiñá Rodríguez,1,1976,00133,00155,abrir_pdf.php?id=ANU-M-1976-10013300155,ANU-M-1976-10013300155
['Política'],"['Crisis', 'Centuria', 'Bimilenario']","['España', 'Siglo', 'Ciclos', 'Crisis', 'Históricos']",Las crisis españolas de fin de centuria: ante el bimilenario,José María Cordero Torres,1,1976,00157,00168,abrir_pdf.php?id=ANU-M-1976-10015700168,ANU-M-1976-10015700168
"['Sociología', 'Economía', 'Sociología y Economía']","['Batalla', 'Estabilización']","['Ministro', 'Hacienda', 'Banco', 'España', 'Gobierno']",La batalla de la estabilización,Mariano Navarro Rubio,1,1976,00171,00202,abrir_pdf.php?id=ANU-M-1976-10017100202,ANU-M-1976-10017100202
"['Sociología', 'Economía', 'Sociología y Economía']","['Persona', 'Prestación', 'Servicios', 'Apunte', 'Historia', 'Ideas', 'Bodino', 'Hegel']","['Hegel', 'Esclavitud', 'Derecho', 'Hombre']",La persona humana y la prestación de sus servicios (un apunte sobre historia de las ideas de Bodino a Hegel),Manuel Alonso Olea,1,1976,00203,00245,abrir_pdf.php?id=ANU-M-1976-10020300245,ANU-M-1976-10020300245
"['Sociología', 'Economía', 'Sociología y Economía']","['Economía', 'Riqueza', 'Naciones']","['Smith', 'Riqueza', 'Obra', 'Naciones']","La economía del Estado en la ""Riqueza de las naciones” y en las naciones de nuestro tiempo",Enrique Fuentes Quintana,1,1976,00247,00265,abrir_pdf.php?id=ANU-M-1976-10024700265,ANU-M-1976-10024700265
['Figuras Académicas'],"['Juan Zaragüeta', 'Apuntes', 'Vida', 'Obra']","['Juan', 'Filosofía', 'Años', 'Vida', 'Academia']",Juan Zaragüeta. Apuntes sobre su vida y su obra,Mariano Yela Granizo,1,1976,00269,00297,abrir_pdf.php?id=ANU-M-1976-10026900297,ANU-M-1976-10026900297
['Figuras Académicas'],"['Vida', 'Obra', 'Fernando Castiella']","['Castiella', 'Años', 'España', 'Política', 'Tratado']",Vida y obra de Fernando Castiella, José María de Areilza y Martínez Rodas,1,1976,00299,00315,abrir_pdf.php?id=ANU-M-1976-10029900315,ANU-M-1976-10029900315
['Vida Académica'],"['Secretarios Real Academia Ciencias Morales', 'Políticas']","['Academia', 'Secretario', 'Derecho', '1918', 'Política']","De ""Re"" académica: los Secretarios de la Real Academia de Ciencias Morales y Políticas",José María Cordero Torres,1,1976,00319,00335,abrir_pdf.php?id=ANU-M-1976-10031900335,ANU-M-1976-10031900335
['Vida Académica'],"['Crónica', 'Curso', '1974-1975']","['Academia', 'Presidente', 'España', 'Premio', 'María']",Crónica del curso 1974-1975,RACMYP,1,1976,00337,00345,abrir_pdf.php?id=ANU-M-1976-10033700345,ANU-M-1976-10033700345
['Vida Académica'],"['Concursos', 'Real Academia']","['Derecho', 'España', 'Premio', 'Lema', 'Título']",Los concursos públicos convocados por la Real Academia,RACMYP,1,1976,00347,00377,abrir_pdf.php?id=ANU-M-1976-10034700377,ANU-M-1976-10034700377
['Política'],"['Oligarquía', 'Gobierno']","['Partido', 'Oligarquía', 'Democracia', 'Partidos', 'Gobierno']","La oligarquía, forma trascendental de gobierno",Gonzalo Fernández De La Mora,1,1976,00379,00418,abrir_pdf.php?id=ANU-M-1976-10037900418,ANU-M-1976-10037900418
['Filosofía'],"['Reflexiones', 'Sindéresis']","['Sindéresis', 'Conciencia', 'Principios', 'Hombre', 'Conservación']",Reflexiones sobre la sindéresis,Leopoldo-Eulogio Palacios,1,1977,00009,00021,abrir_pdf.php?id=ANU-M-1977-10000900021,ANU-M-1977-10000900021
['Filosofía'],"['Sentido', 'Hombre']","['Persona', 'Hombre', 'Individuo', 'Humana', 'Sociedad']",El sentido comunitario del hombre,Angel González Álvarez,1,1977,00023,00039,abrir_pdf.php?id=ANU-M-1977-10002300039,ANU-M-1977-10002300039
['Filosofía'],"['Falta', 'Interioridad', 'Drama', 'Cultura', 'Iglesia']","['Hombre', 'Libertad', 'Interioridad', 'Vida', 'Cultura']","La falta de interioridad, drama de la cultura actual y de la Iglesia",Marcelo González Martín,1,1977,00041,00060,abrir_pdf.php?id=ANU-M-1977-10004100060,ANU-M-1977-10004100060
['Política'],"['Reflexiones', 'Proceso', 'España']","['Política', 'Democrática', 'Forma', 'Sistema', 'Político']",Reflexiones sobre el proceso constitucional democrático actual en España,Carlos Ollero Gómez,1,1977,00063,00081,abrir_pdf.php?id=ANU-M-1977-10006300081,ANU-M-1977-10006300081
['Política'],"['Monarquía', 'Mundo']","['Monarquía', 'Siglo', 'República', 'Monarquías']",La monarquía en el mundo actual,José María Cordero Torres,1,1977,00083,00094,abrir_pdf.php?id=ANU-M-1977-10008300094,ANU-M-1977-10008300094
['Política'],"['Monarquía', 'España']","['Monarquía', 'Monárquica', 'Principio', 'Política', 'Familiar']",La monarquía actual de España,Francisco Moreno de Herrera,1,1977,00095,00109,abrir_pdf.php?id=ANU-M-1977-10009500109,ANU-M-1977-10009500109
['Política'],"['Monarquía', 'España', 'Europa']","['Democracia', 'Europa', 'España', 'Régimen', 'Valores']",La Monarquía: España y Europa hoy,José Ignacio Alcorta,1,1977,00111,00150,abrir_pdf.php?id=ANU-M-1977-10011100150,ANU-M-1977-10011100150
"['Sociología', 'Economía', 'Sociología y Economía']","['Burocracia', 'Tecnocracia', 'Ideología']","['Sociedad', 'Realidad', 'Organización', 'Ideologías']","Burocracia, tecnocracia, ideología",Luis Legaz Lacambra,1,1977,00153,00170,abrir_pdf.php?id=ANU-M-1977-10015300170,ANU-M-1977-10015300170
"['Sociología', 'Economía', 'Sociología y Economía']","['Derecho', 'Derechos Humanos']","['Derechos', 'Derecho', 'Humanos', 'Hombres', 'Dios']",El derecho humanista y los derechos humanos,Antonio Perpiñá Rodríguez,1,1977,00171,00188,abrir_pdf.php?id=ANU-M-1977-10017100188,ANU-M-1977-10017100188
"['Sociología', 'Economía', 'Sociología y Economía']","['Batalla', 'Desarrollo']","['Hacienda', 'Ministro', 'España', 'Banco', 'Ministerio']",La batalla del desarrollo,Mariano Navarro Rubio,1,1977,00189,00219,abrir_pdf.php?id=ANU-M-1977-10018900219,ANU-M-1977-10018900219
"['Sociología', 'Economía', 'Sociología y Economía']","['Consideraciones', 'Reforma', 'Sindicalismo']","['Sindicato', 'Trabajadores', 'Sindical', 'Sindicatos', 'Derecho']",Consideraciones sobre la reforma del sindicalismo español,Manuel Alonso Olea,1,1977,00221,00255,abrir_pdf.php?id=ANU-M-1977-10022100255,ANU-M-1977-10022100255
['Figuras Académicas'],"['Vida', 'Muerte', 'Excmo', 'Sr. Don Alvaro López Núñez']","['López', 'Núñez', 'Alvaro', 'Vida', 'León']","Ser, vida y muerte del Excmo. Sr. don Alvaro López Núñez",Luis Jordana de Pozas,1,1977,00259,00276,abrir_pdf.php?id=ANU-M-1977-10025900276,ANU-M-1977-10025900276
['Figuras Académicas'],"['Don Luis Olariaga', 'Pujana', '1885-1976']","['Luis', 'Olariaga', 'Política', 'Vida', 'Derecho']",Don Luis Olariaga y Pujana. 1885-1976,José Castañeda Chornet,1,1977,00277,00288,abrir_pdf.php?id=ANU-M-1977-10027700288,ANU-M-1977-10027700288
['Vida Académica'],"['Premio', 'Concurso', 'Inflación', 'Empresa']","['Inflación', 'Empresa', 'Precios', 'Efectos', 'Adquisitivo']",Premio de concurso: La inflación y la empresa,Francisco Úbeda Abad,1,1977,00293,00337,abrir_pdf.php?id=ANU-M-1977-10029300337,ANU-M-1977-10029300337
['Vida Académica'],"['Premio', 'Concurso', 'Gastronomía', 'Ciencias']","['Gastronomía', 'Orden', 'Alimentos', 'Origen', 'Hombre']",Premio de concurso: La gastronomía y las ciencias morales y políticas, José María de Areilza y Martínez Rodas,1,1977,00339,00344,abrir_pdf.php?id=ANU-M-1977-10033900344,ANU-M-1977-10033900344
['Vida Académica'],"['Homenaje', 'Antigüedad']","['Vida', 'Ciencias', 'Madariaga', 'Español', 'Obra']",Homenaje a la antigüedad académica,RACMYP,1,1977,00347,00350,abrir_pdf.php?id=ANU-M-1977-10034700350,ANU-M-1977-10034700350
['Vida Académica'],"['Crónica', 'Curso', '1975-1976']","['Manuel', 'España', 'Riqueza', 'Naciones', 'Adam']",Crónica del curso 1975-1976,RACMYP,1,1977,00353,00356,abrir_pdf.php?id=ANU-M-1977-10035300356,ANU-M-1977-10035300356
['Filosofía'],"['Educación', 'Numerus']","['Derecho', 'Educación', 'Alumnos', 'Universidad', 'Derechos']",Educación universitaria y «numerus clausus»,Angel González Álvarez,1,1978,00009,00024,abrir_pdf.php?id=ANU-M-1978-10000900024,ANU-M-1978-10000900024
['Política'],"['Actualización', 'Derechos Humanos']","['Derechos', 'Humanos', 'Años', 'Libertad', 'Principios']",La actualización de los derechos humanos, José María de Areilza y Martínez Rodas,1,1978,00027,00046,abrir_pdf.php?id=ANU-M-1978-10002700046,ANU-M-1978-10002700046
['Política'],"['Encrucijadas', 'Derechos Humanos']","['Derechos', 'Igualdad', 'Libertad', 'Derecho', 'Individual']",Las encrucijadas de los derechos humanos,Carlos Ruiz del Castillo,1,1978,00047,00067,abrir_pdf.php?id=ANU-M-1978-10004700067,ANU-M-1978-10004700067
